 ,Title,Director,Cast,genres,original_language,overview,popularity,poster_path,release_date,runtime,vote_average
0,Laapataa Ladies,Kiran Rao,"Nitanshi Goel,
Pratibha Ranta,
Sparsh Shrivastav,
Chhaya Kadam,
Ravi Kishan,
Geeta Agrawal Sharma,
Satendra Soni,
Abeer Jain,
Bhaskar Jha,
Daood Hussain,
Durgesh Kumar","Comedy, Drama",hi,It tells the story of two young newly-wed brides who get exchanged during a train ride to their husband's homes.,3.118,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQGH9eNp2Ldsx8wOX3u0Wqb_DJhHQV5QMvCkSNflSnsW1R4gekP7u_mdjvVNP9vocOTEpji,2023,2h 4m,7.3
1,Aashiqui 2,Mohit Suri,"Aditya Roy Kapur,
Shraddha Kapoor ,Shaad Randhawa,
Mahesh Thakur,
Shubhangi Latkar,
Milind Phatak,
Chitrak Bandhopadyay,
Mahesh Bhatt,
Bugs Bhargava,
Salil Acharya,
Soumyajit Majumdar,
Partha Akerkar,
Rihan Thakur","Romance,Drama",hi,"The film centers on a turbulent romantic relationship between a failing singer, Rahul Jaykar, and his protege, aspiring singer Aarohi Keshav Shirke, which is affected by Rahul's issues with alcohol abuse and temperament.",5.029,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQzQdGamkV9zfzm2n_-b_jDxCKZZ1K5hUULGx4NhY3FLphMNrol,2013,2h 12m,6.4
2,Dasvi,Tushar Jalota,"Abhishek Bachchan,Yami Gautam,Nimrat Kaur","Drama,Comedy",hi,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",4.485,/zL40soH0AYoBD5BVNu9U2B98ejD.jpg,2022,2 hrs 7 min,5.4
3,Hurdang,Nikhil Nagesh Bhat,"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma","Drama,Romance",hi,"In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.",3.69,/vcsr4oajxfEMYpjxfgrVfJCbczk.jpg,2022,2 hrs 2 min,5
4,Jersey,Gowtam Tinnanuri,"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",Drama,hi,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",9.077,/ur2D5MXrwBBymQ7DjG0cOFen2yh.jpg,2022,2 hrs 55 min,7
5,Operation Romeo,Shashant Shah,"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam","Drama,Thriller",hi,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,1.853,/qTyR9BDP4OCRMYUhHBYszRpFXE1.jpg,2022,2 hrs 15 min,6.2
6,Runway 34,Ajay Devgn,"Amitabh Bachchan,Ajay Devgn,Rakul Preet,Boman Irani","Thriller,Drama",hi,"A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",7.258,/8RlQEuxeRqHh7sWTRswdUC9kP3H.jpg,2022,2 hrs 21 min,6.5
7,Heropanti 2,Ahmed Khan,"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria","Action,Drama,Romance",hi,"Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord, Laila wants him dead.",5.625,/cfKTqIwMRYblzesiidC91E1g5Cf.jpg,2022,2 hrs 22 min,4.8
8,Mere Desh Ki Dharti,Faraz Haider,"Anupriya Goenka,Anant Vidhaat,Brijendra Kala","Comedy,Drama",hi,Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,2.841,/53VStqbu6cS6HlfswFsSe4WMOm1.jpg,2022,2 hrs 22 min,7.2
9,Thar,Raj Singh Chaudhary,"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana","Western,Action,Thriller,Drama,Crime",hi,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,4.267,/2PK1WRr8dOF7FG5G4VCal4GcnPT.jpg,2022,1 hrs 48 min,6.4
10,Jayeshbhai Jordaar,Divyang Thakkar,"Ranveer Singh,Shalini Pandey,Boman Irani,Ratna Pathak","Comedy,Drama",hi,"A non-confrontational Jayesh decides to defy his patriarchal family and flee with his pregnant wife Mudra to save their unborn daughter from foeticide. A screwball, hilarious chase begins as Jayesh's father assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",7.13,/dv93VspYwwNPbvdB0AcddhiDrGU.jpg,2022,2 hrs 4 min,5.9
11,Bhool Bhulaiyaa 2,Anees Bazmee,"Kartik Aaryan,Kiara Advani","Horror,Comedy",hi,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",8.781,/fw0oMHiMt9qOuKEJEmzFiCNAnXc.jpg,2022,2 hrs 22 min,6.2
12,Dhaakad,Razy Ghai,"Kangana Ranaut,Arjun Rampal,Divya Dutta",Action,hi,"Special Agent Agni is tasked to find information and eventually, eliminate Rudraveer, an international human trafficker and a coal mafioso. Things turn personal when Agni discovers a truth that connects her to Rudraveer.",6.605,/3YWiiujx2WWyM0caULLHca3j6Gu.jpg,2022,2 hrs 11 min,5
13,Anek,Anubhav Sinha,Ayushmann Khurrana,"Action,Thriller",hi,"Amid the turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.",5.415,/fIHF8WrZpoomx0QSVTe74NeYGUD.jpg,2022,2 hrs 26 min,6.2
14,Samrat Prithviraj,Chandraprakash Dwivedi,"Akshay Kumar,Sanjay Dutt,Sonu Sood,Manushi Chhillar","Action,Drama,History",hi,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",10.579,/itjop20yizH1cwB44tIo5JivPSq.jpg,2022,2 hrs 16 min,7.2
15,Janhit Mein Jaari,Jai Basantu Singh,Nushrratt Bharuccha,"Comedy,Drama,Romance",hi,"A small-town girl from MP, Manokamna, gets a decent-paying job. But the work requires her to sell condoms. Will she be able to voice her beliefs while balancing her responsibilities and society?",2.397,/foCjFsf4D9M4sy2CcoxnD9RHAOq.jpg,2022,2 hrs 26 min,6.8
16,Ardh,Palash Muchhal,"Rajpal Yadav,Rubina Dilaik","Drama,Comedy",hi,"Shiva struggles to become a mainstream actor in Mumbai despite being a theatre actor. With the help of his wife Madhu, he disguises himself as a transgender and begs for money to survive.",1.52,/oLSgNq1rZw9pBxxfNV8fi5lK290.jpg,2022,1 hrs 24 min,8
17,Nikamma,Sabbir Khan,"Abhimanyu Dassani,Shirley Setia,Shilpa Shetty","Action,Comedy",hi,"Nikamma is an action-comedy, which is a remake of 2017 Telugu film film Middle Class Abbayi.",2.52,/gm19HSx2qZI67l9qhcNuCjGSznX.jpg,2022,2 hrs 27 min,3.8
18,Forensic,Vishal Furia,"Vikrant Massey,Radhika Apte,Prachi Desai,Rohit Roy","Crime,Thriller",hi,Little girls begin to disappear and their bodies are found soon after in the town of Mussoorie. Police officer Megha and forensic officer Johnny join hands to nab the killer.,1.827,/bn2sQizEJ0qsntJRvjULsd5vk44.jpg,2022,2 hrs 9 min,4.8
19,Rashtra Kavach Om,Kapil Verma,"Aditya Roy,Sanjana Sanghi","Action,Thriller",hi,"Om, a special forces para commando officer, loses his memory while fighting enemies. After recovering from amnesia, Om is on a mission to save the nation from terrorists. As he fights the challenges the mission presents, he learns a shocking truth about his life.",2.948,/bvU8hIFMQe1OELPjEoydCITjHTN.jpg,2022,2 hrs 15 min,5.8
20,HIT: The First Case,Shailesh Kolanu,"Rajkummar Rao,Sanya Malhotra","Crime,Mystery,Thriller",hi,"Burdened by old demons, a troubled but brilliant detective sets out to solve two confounding abduction cases — one involving his own girlfriend.",5.834,/sKcbVK6QgxUjiHOE2xooRXTH0mz.jpg,2022,2 hrs 16 min,6.4
21,Jaadugar,Sameer Saxena,"Jitendra Kumar,Jaaved Jaaferi,Aarushi Sharma","Comedy,Drama,Romance",hi,A small-time magician with zero interest in football must lead his local team to the finals of a tournament if he wishes to marry the love of his life.,3.355,/AmN1EdNRzpwLMzQSPkIFtIVbsxk.jpg,2022,2 hrs 47 min,6.6
22,Judaa Hoke Bhi,Vikram Bhatt,"Akshay Oberoi,Aindrita Ray,Meherzan Mazda","Horror,Thriller",hi,"Aman Khanna, a once successful singer, is drowning his life into alcohol, despair and self- destruction after his 6 years old son died in a freak accident. Aman's wife, Meera who has an autobiographical bestseller to her credit is trying to cope with their financial burdens and Aman's lack of responsibility.",1.4,/ltbgOdIWarSlIIG2XCeQsLoZaVY.jpg,2022,1 hrs 54 min,0
23,Shabaash Mithu,Srijit Mukherji,Taapsee Pannu,"Drama,History",hi,"From child prodigy to trailblazing captain, Indian women's cricket icon Mithali Raj navigates highs and lows of professional career. A story of a young girl's determination and stance against discrimination, about her spirit, passion, courage, and her dreams.",4.346,/s4T4LGIRErWK7bomHFlSJirGZ4T.jpg,2022,2 hrs 36 min,6.3
24,Shamshera,Karan Malhotra,"Ranbir Kapoor,Sanjay Dutt,Vaani Kapoor","Action,Drama,Adventure",hi,"Set in the 1800s, the film is about a ""dacoit"" tribe who take charge in fight for their rights and independence against the British.",104.945,/rryN6GhaoovO3sM8IEqGyKgCmXf.jpg,2022,2 hrs 38 min,5.5
25,Ek Villain Returns,Mohit Suri,"John Abraham,Arjun Kapoor,Disha Patani,Tara Sutaria","Action,Crime,Thriller",hi,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman's son cross paths in a twisted tale where good and evil is blurred.",7.474,/amAbP9YbIAlAXHdIon1x8l7aDFT.jpg,2022,2 hrs 7 min,5.3
26,Good Luck Jerry,Sidharth Sengupta,Janhvi Kapoor,"Comedy,Crime,Drama",hi,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit.",2.386,/abcG0hQJVwCdloTTTwrY0jfJ1Em.jpg,2022,1 hrs 58 min,5.4
27,Darlings,Jasmeet K Reen,"Alia Bhatt,Shefali Shah,Vijay Varma","Comedy,Crime,Thriller",hi,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",6.162,/lyA7kXCIAG17hVuvFOxlMmmv31A.jpg,2022,2 hrs 14 min,7.1
28,Laal Singh Chaddha,Advait Chandan,"Aamir Khan,Kareena Kapoor,Naga Chaitanya,Mona Singh","Drama,Romance",hi,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",9.746,/qqBB1tAi345mXMhLwLJpd7LWLRP.jpg,2022,2 hrs 37 min,6.6
29,Raksha Bandhan,Aanand L. Rai,"Akshay Kumar,Bhumi Pednekar","Comedy,Drama,Family",hi,"Lala Kedarnath is blessed with 4 sisters. But his only worry is to find suitable grooms for each of them, as only then can he marry his childhood love. To what lengths will he go to succeed?",4.704,/g2tly6nICUngmNnVH4iRQ75DeDZ.jpg,2022,1 hrs 50 min,7.2
30,Dobaaraa,Anurag Kashyap,"Taapsee Pannu,Pavail Gulati","Science Fiction,Mystery,Thriller",hi,"In the 1990s, during a wild thunderstorm night, 12-year-old Anay dies in a road accident shortly after he sees his next-door neighbor committing a crime. Twenty-five years later, in a strange turn of events, on an identical stormy night, Antara finds herself in front of a TV set through which she attempts to save Anay’s life but her good deed causes a disturbing chain of unexpected consequences.",4.087,/l0Ayozn8O69UEjDvXnT5noIgUJp.jpg,2022,2 hrs 15 min,5.5
31,Holy Cow,Sai Kabir,"Sanjay Mishra,Tigmanshu Dhulia,Nawazuddin Siddiqui,Sadiya Siddiqui","Comedy,Drama",hi,"The story of how Salim's cow, Ruksar, goes missing and he starts searching for it at night.",1.429,/4aGHjbHR5wX05GtnlZVEWzkOnJO.jpg,2022,0 hrs 0 min,4
32,Cuttputlli,Ranjit M Tewari,"Akshay Kumar,Rakul Preet,Chandrachur Singh,Sargun Mehta","Crime,Mystery,Thriller",hi,"When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy.",4.161,/gVQweL2bdoTlmrVYbcicZQ5VcNP.jpg,2022,2 hrs 14 min,6.1
